flight_date,flight_status,live,departure_airport,departure_timezone,departure_iata,departure_icao,departure_terminal,departure_gate,departure_delay,departure_scheduled,departure_estimated,departure_actual,departure_estimated_runway,departure_actual_runway,arrival_airport,arrival_timezone,arrival_iata,arrival_icao,arrival_terminal,arrival_gate,arrival_baggage,arrival_scheduled,arrival_delay,arrival_estimated,arrival_actual,arrival_estimated_runway,arrival_actual_runway,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,flight_codeshared,aircraft_registration,aircraft_iata,aircraft_icao,aircraft_icao24,aircraft,flight_codeshared_airline_name,flight_codeshared_airline_iata,flight_codeshared_airline_icao,flight_codeshared_flight_number,flight_codeshared_flight_iata,flight_codeshared_flight_icao
2026-01-15,landed,,Darwin,Australia/Darwin,DRW,YPDN,,,6.0,2026-01-15T01:00:00+00:00,2026-01-15T01:00:00+00:00,2026-01-14T01:19:00+00:00,2026-01-14T01:19:00+00:00,2026-01-14T01:19:00+00:00,Nhulunbuy,Australia/Darwin,GOV,YPGV,,,,2026-01-14T02:44:00+00:00,6.0,2026-01-14T02:59:00+00:00,2026-01-14T02:50:00+00:00,2026-01-14T02:50:00+00:00,2026-01-14T02:50:00+00:00,CareFlight,,CFH,28,,CFH28,,,,,7C7EE6,,,,,,,
2026-01-14,scheduled,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,,,,2026-01-14T07:30:00+00:00,2026-01-14T07:30:00+00:00,,,,Duong Dong,Asia/Ho_Chi_Minh,PQC,VVPQ,,,,2026-01-14T08:40:00+00:00,320.0,,,,,VietJet Air,VJ,VJC,347,VJ347,VJC347,,,,,,,,,,,,
2026-01-14,scheduled,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,,,,2026-01-14T07:30:00+00:00,2026-01-14T07:30:00+00:00,,,,Duong Dong,Asia/Ho_Chi_Minh,PQC,VVPQ,,,,2026-01-14T08:40:00+00:00,320.0,,,,,,H1,H1,4418,H14418,H14418,,,,,,,vietjet air,vj,vjc,347,vj347,vjc347
2026-01-14,scheduled,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,,,,2026-01-14T07:30:00+00:00,2026-01-14T07:30:00+00:00,,,,Duong Dong,Asia/Ho_Chi_Minh,PQC,VVPQ,,,,2026-01-14T08:40:00+00:00,320.0,,,,,FlexFlight,W2,FXT,4347,W24347,FXT4347,,,,,,,vietjet air,vj,vjc,347,vj347,vjc347
2026-01-14,scheduled,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,,,,2026-01-14T07:30:00+00:00,2026-01-14T07:30:00+00:00,,,,Duong Dong,Asia/Ho_Chi_Minh,PQC,VVPQ,,,,2026-01-14T08:40:00+00:00,320.0,,,,,,A1,A1,2347,A12347,A12347,,,,,,,vietjet air,vj,vjc,347,vj347,vjc347
2026-01-14,scheduled,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,18,,2026-01-14T08:50:00+00:00,2026-01-14T08:50:00+00:00,,,,Perth International,Australia/Perth,PER,YPPH,4,13,,2026-01-14T12:05:00+00:00,,,,,,American Airlines,AA,AAL,7283,AA7283,AAL7283,,,,,,,qantas,qf,qfa,935,qf935,qfa935
2026-01-14,scheduled,,Port Hedland,Australia/Perth,PHE,YPPD,,,,2026-01-14T09:55:00+00:00,2026-01-14T09:55:00+00:00,,,,Perth International,Australia/Perth,PER,YPPH,4,15,,2026-01-14T12:05:00+00:00,,,,,,QantasLink,,QLK,1643,,QLK1643,,,,,7C6C9F,,,,,,,
2026-01-14,scheduled,,,,KQR,YKAR,,,,2026-01-14T09:45:00+00:00,2026-01-14T09:45:00+00:00,,,,Perth International,Australia/Perth,PER,YPPH,1,,,2026-01-14T10:34:00+00:00,,,,,,empty,,,,,,,,,,7C1C4F,,,,,,,
2026-01-14,scheduled,,Perth International,Australia/Perth,PER,YPPH,,,,2026-01-14T08:15:00+00:00,2026-01-14T08:15:00+00:00,,,,,,KQR,YKAR,,,,2026-01-14T09:07:00+00:00,,,,,,empty,,,,,,,,,,7C1C4F,,,,,,,
2026-01-14,scheduled,,Perth International,Australia/Perth,PER,YPPH,,,,2026-01-14T06:45:00+00:00,2026-01-14T06:45:00+00:00,,,,,,QBE,YCPR,,,,2026-01-14T08:35:00+00:00,,,,,,Alliance Airlines,QQ,UTY,733,QQ733,UTY733,,,,,7C1ABA,,,,,,,
2026-01-14,active,,Perth International,Australia/Perth,PER,YPPH,,,,2026-01-14T06:30:00+00:00,2026-01-14T06:30:00+00:00,,,,,,QBQ,YSRD,,,,2026-01-14T07:23:00+00:00,,,,,,National Jet Express,WO,JTE,150,WO150,JTE150,,,,,7CACB1,,,,,,,
2026-01-14,active,,Perth International,Australia/Perth,PER,YPPH,,,,2026-01-14T06:30:00+00:00,2026-01-14T06:30:00+00:00,,,,Ginbata Airport,,GBW,YGIA,,,,2026-01-14T08:00:00+00:00,,,,,,Qantas,QF,QFA,1350,QF1350,QFA1350,,,,,7C6DED,,,,,,,
